card_serial|entrances
0401FCE2185081|{'2020-01-30 12:39:27': 'Arena', '2020-01-30 13:40:34': 'Palazzo della Ragione', '2020-01-30 14:03:24': 'Santa Anastasia', '2020-01-30 14:32:50': 'Duomo', '2020-01-30 15:12:00': 'Casa Giulietta', '2020-01-31 11:18:19': 'Castelvecchio', '2020-01-31 14:12:37': 'Giardino Giusti'}
040204F2185085|{'2020-01-26 15:35:07': 'Teatro Romano', '2020-01-26 17:00:03': 'Arena'}
04020FF2185085|{'2020-02-08 12:26:58': 'Arena', '2020-02-08 13:49:23': 'Casa Giulietta', '2020-02-08 16:53:32': 'Castelvecchio'}
040213121B6785|{'2020-01-19 12:52:37': 'Arena', '2020-01-19 16:04:43': 'Casa Giulietta'}
040213E2185081|{'2020-01-02 10:54:04': 'Tomba Giulietta', '2020-01-02 11:38:03': 'Arena', '2020-01-02 12:26:00': 'Casa Giulietta', '2020-01-02 14:19:01': 'Torre Lamberti', '2020-01-02 15:07:57': 'Duomo', '2020-01-03 11:50:24': 'San Zeno', '2020-01-03 12:34:16': 'Castelvecchio', '2020-01-03 17:14:19': 'Teatro Romano'}
040215E2185081|{'2020-01-04 13:36:26': 'Arena', '2020-01-04 16:50:37': 'Casa Giulietta', '2020-01-05 11:57:56': 'Castelvecchio', '2020-01-05 14:48:55': 'Duomo', '2020-01-05 16:55:27': 'Teatro Romano'}
040217E2185081|{'2020-01-24 13:32:45': 'Casa Giulietta', '2020-01-24 14:26:41': 'Teatro Romano', '2020-01-24 15:27:32': 'Arena', '2020-01-24 16:45:43': 'Castelvecchio'}
040217F2185081|{'2020-02-22 11:39:27': 'Arena', '2020-02-22 15:42:34': 'Palazzo della Ragione', '2020-02-22 16:57:53': 'Santa Anastasia', '2020-02-23 10:46:33': 'Tomba Giulietta'}
040217F2185085|{'2020-02-22 15:52:20': 'Arena', '2020-02-22 16:43:51': 'Casa Giulietta', '2020-02-22 17:14:03': 'Palazzo della Ragione', '2020-02-23 09:20:13': 'Castelvecchio', '2020-02-23 12:10:50': 'Teatro Romano', '2020-02-23 14:14:38': 'Tomba Giulietta'}
04021DE2185081|{'2020-01-16 15:46:17': 'Arena', '2020-01-16 16:39:41': 'Casa Giulietta', '2020-01-17 11:55:43': 'Teatro Romano', '2020-01-17 13:43:10': 'Duomo', '2020-01-17 16:51:47': 'Torre Lamberti', '2020-01-17 17:14:55': 'Palazzo della Ragione', '2020-01-18 12:17:05': 'Museo Lapidario', '2020-01-18 13:57:14': 'Tomba Giulietta', '2020-01-18 15:06:21': 'Castelvecchio'}
04021FF2185085|{'2020-01-25 14:23:10': 'Arena', '2020-01-25 15:35:09': 'Casa Giulietta', '2020-01-25 16:32:35': 'Santa Anastasia'}
040223F2185081|{'2020-01-26 11:20:42': 'Arena', '2020-01-26 11:58:59': 'Casa Giulietta', '2020-01-26 13:16:13': 'Torre Lamberti', '2020-01-26 13:48:39': 'Santa Anastasia', '2020-01-26 14:20:55': 'Duomo'}
04022AF2185085|{'2020-02-22 11:04:13': 'Castelvecchio', '2020-02-22 12:16:04': 'Arena', '2020-02-22 13:49:44': 'Palazzo della Ragione', '2020-02-22 15:47:11': 'San Zeno'}
04022CF2185085|{'2020-10-31 11:19:28': 'Arena', '2020-10-31 15:22:40': 'Santa Anastasia', '2020-10-31 17:15:29': 'Arena'}
04022DF2185085|{'2020-01-26 10:54:12': 'Arena', '2020-01-26 11:28:27': 'Museo Lapidario', '2020-01-26 12:04:38': 'Castelvecchio', '2020-01-26 14:40:55': 'Teatro Romano', '2020-01-26 15:10:42': 'Duomo', '2020-01-26 15:31:48': 'Santa Anastasia', '2020-01-26 15:56:02': 'Torre Lamberti', '2020-01-26 16:08:33': 'Palazzo della Ragione', '2020-01-26 16:33:55': 'Casa Giulietta', '2020-01-26 17:01:06': 'Museo Storia', '2020-01-26 17:40:55': 'Tomba Giulietta'}
040231F2185081|{'2020-01-25 15:44:53': 'Arena', '2020-01-25 16:23:02': 'Casa Giulietta', '2020-01-25 16:54:17': 'Torre Lamberti', '2020-01-25 17:17:09': 'Palazzo della Ragione'}
